State, th3, TASK, 0.107988, 0.108382, 0.000394, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.108384, 0.108670, 0.000285, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.108676, 0.109080, 0.000404, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.109082, 0.109473, 0.000391, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.109475, 0.109882, 0.000407, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.109884, 0.110274, 0.000390, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.110276, 0.110663, 0.000387, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.110665, 0.111050, 0.000385, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.111053, 0.111441, 0.000388, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.111444, 0.111829, 0.000385, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.111831, 0.112219, 0.000388, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.112221, 0.112606, 0.000385, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.112608, 0.113012, 0.000403, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.113014, 0.113396, 0.000382, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.113398, 0.113785, 0.000386, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.113787, 0.114177, 0.000390, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.114179, 0.114567, 0.000388, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.114570, 0.114956, 0.000386, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.114958, 0.115345, 0.000386, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.115347, 0.115733, 0.000386, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.115735, 0.116121, 0.000386, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.116123, 0.116422, 0.000299, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.116430, 0.116826, 0.000396, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.116828, 0.117102, 0.000273, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.117113, 0.117504, 0.000390, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.117507, 0.117903, 0.000396, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.117905, 0.118302, 0.000397, 0.000000, lapack_dtpmqrt
